tweet
"RT @ChampionsLeague: <U+0001F4C5> Kevin De Bruyne's late strike sent Manchester City to the semi-finals #OTD in 2016...

#UCL | @ManCity https://t.co/"
"RT @ChampionsLeague: <U+0001F4C5> Kevin De Bruyne's late strike sent Manchester City to the semi-finals #OTD in 2016...

#UCL | @ManCity https://t.co/"
"RT @ChampionsLeague: Well played, Roberto Firmino <U+0001F44F><U+0001F44F><U+0001F44F>

#UCL #POTW https://t.co/Mp1XZ2SBkk"
RT @LFC: <U+0001F4AB> Bobby Firmino wins #UCL's Player of the Week <U+0001F4AB> https://t.co/xK2dXnGI1h
"RT @brfootball: 50 days from now, well know the winner of the 2018/19 #UCL <U+0001F3C6> https://t.co/DARNVSCbBJ"
"RT @ChampionsLeague: <U+26BD><U+FE0F><U+26BD><U+FE0F><U+26BD><U+FE0F> #OnThisDay in 2016, Cristiano Ronaldo scored a hat-trick as Real Madrid overturned a 2-0 first-leg loss to reac"
"RT @ChampionsLeague: <U+26BD><U+FE0F><U+26BD><U+FE0F><U+26BD><U+FE0F> #OnThisDay in 2016, Cristiano Ronaldo scored a hat-trick as Real Madrid overturned a 2-0 first-leg loss to reac"
"RT @ChampionsLeague: <U+26BD><U+FE0F><U+26BD><U+FE0F><U+26BD><U+FE0F> #OnThisDay in 2016, Cristiano Ronaldo scored a hat-trick as Real Madrid overturned a 2-0 first-leg loss to reac"
"RT @ChampionsLeague: Cristiano Ronaldo = big game player <U+0001F4AA>

<U+26BD><U+FE0F>6<U+20E3>1<U+20E3> GROUP STAGE
<U+26BD><U+FE0F>6<U+20E3>4<U+20E3> KNOCKOUT ROUNDS 

#UCL https://t.co/gcGHVUn7mw"
"RT @ChampionsLeague: <U+26BD><U+FE0F><U+26BD><U+FE0F><U+26BD><U+FE0F> #OnThisDay in 2016, Cristiano Ronaldo scored a hat-trick as Real Madrid overturned a 2-0 first-leg loss to reac"
"RT @ChampionsLeague: <U+0001F4C5> Kevin De Bruyne's late strike sent Manchester City to the semi-finals #OTD in 2016...

#UCL | @ManCity https://t.co/"
"RT @inderghandial: Jurgen Klopp - #PL manager of the month.

Sadio Mané - #PL player of the month. 

Roberto Firmino - #UCL player of the w"
"RT @ChampionsLeague: Cristiano Ronaldo = big game player <U+0001F4AA>

<U+26BD><U+FE0F>6<U+20E3>1<U+20E3> GROUP STAGE
<U+26BD><U+FE0F>6<U+20E3>4<U+20E3> KNOCKOUT ROUNDS 

#UCL https://t.co/gcGHVUn7mw"
"RT @ChampionsLeague: <U+26BD><U+FE0F><U+26BD><U+FE0F><U+26BD><U+FE0F> #OnThisDay in 2016, Cristiano Ronaldo scored a hat-trick as Real Madrid overturned a 2-0 first-leg loss to reac"
"RT @brfootball: 50 days from now, well know the winner of the 2018/19 #UCL <U+0001F3C6> https://t.co/DARNVSCbBJ"
Fucked up again #UCL https://t.co/iUXeAfAf1K
